dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,median,min,max,count,range,cv_ratio
IMPUTED,config_strat80,LogisticRegression,robust,smoteenn,off,0.47914257444109026,0.16482341890788527,0.4845437118523489,0.0486473329926243,0.8643121965600912,480,0.8156648635674669,0.3439966049774398
STRICT,config_kfold,LinearDiscriminantAnalysis,maxabs,smote,on,0.478305202259643,0.04720069959938335,0.47915637589201726,0.3483161235723625,0.6154176440013125,1120,0.26710152042894997,0.09868322438558998
STRICT,config_random80,LogisticRegression,standard,none,off,0.478230308805906,0.15689104526246997,0.4803844614152614,0.2132007163556104,0.8528028654224417,120,0.6396021490668313,0.3280658761553852
IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,smote,off,0.47820953775303143,0.007527767945959676,0.4778932379516889,0.4685790789045568,0.4884725962041911,8,0.01989351729963429,0.015741567977356714
STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,smote,on,0.4779145590792044,0.031773665838031234,0.4670841238700822,0.4376281740110319,0.5207201428712019,56,0.08309196886017006,0.0664839880568807
STRICT,config_strat80,LinearDiscriminantAnalysis,maxabs,smote,on,0.4777333550757446,0.15573186036732736,0.5048267902790238,0.1166423687039608,0.7715167498104595,560,0.6548743811064986,0.32598071437284526
IMPUTED,config_strat80,SVC,robust,smoteenn,on,0.47757762936079495,0.18560836375980577,0.5174307236488221,-0.1600578141777946,0.92783056924063,3360,1.0878883834184245,0.3886454313369533
IMPUTED,config_random80,LogisticRegression,standard,undersample,off,0.4771662315848042,0.14312546851302108,0.4702759709795405,0.1136584015456127,0.7679476477883045,240,0.6542892462426918,0.2999488627635297
STRICT,config_kfold,SVC,robust,smoteenn,off,0.4769606295309425,0.05318097804372791,0.4824190031995375,0.2992650871413314,0.5904454790791785,900,0.29118039193784717,0.11149972293526132
IMPUTED,config_strat80,GaussianNB,standard,undersample,on,0.47656625069972663,0.15499312551360228,0.47986975413677513,0.1488652989562745,0.8454106280193237,840,0.6965453290630491,0.3252289168316702
IMPUTED,config_random80,LogisticRegression,standard,smoteenn,off,0.47592123686992444,0.12501880894626044,0.4581228472908512,0.1901668471529859,0.8563488385776753,480,0.6661819914246894,0.2626880232714426
STRICT,config_random80,LogisticRegression,standard,undersample,off,0.4756612431848802,0.14979249857294727,0.4796874435475382,0.2078698548207745,0.8295454545454546,240,0.6216755997246801,0.31491423932289114
